ID,Character,Image,Decomposition,Description
1175,旬,4730735.jpg,Compound 旬  from person-hold 勹 bāo sun-day 日 rì.,(- 勹 from modified 十 indicating a loop of 10 days)
1176,旬,4730984.jpg,Compound 旬  from person-hold 勹 bāo sun-day 日 rì.,(- 勹 from modified 十 indicating a loop of 10 days)
1177,讯,4731627.jpg,Compound 訊  from mouth-speak (讠)訁 yán and  phonetic whip 卂 xùn simp 讯.,
1178,疋,4731276.jpg,Component 疋 same-as 𤴔 C444 匹<疋> simp 匹. (name- leg-knee 𤴔疋 shū),"(- stone chimes in a row, which must be matched)  See 匹配"
1179,疋,4732762.jpg,Component 疋 same-as 𤴔 C444 匹<疋> simp 匹. (name- leg-knee 𤴔疋 shū),"(- stone chimes in a row, which must be matched)  See 匹配"
1180,疋,4732256.jpg,Component 疋 same-as 𤴔 C444 匹<疋> simp 匹. (name- leg-knee 𤴔疋 shū),"(- stone chimes in a row, which must be matched)  See 匹配"
1181,疋,4732206.jpg,Component 疋 same-as 𤴔 C444 匹<疋> simp 匹. (name- leg-knee 𤴔疋 shū),"(- stone chimes in a row, which must be matched)  See 匹配"
1182,疋,4733686.jpg,Component 疋 same-as 𤴔 C444 匹<疋> simp 匹. (name- leg-knee 𤴔疋 shū),"(- stone chimes in a row, which must be matched)  See 匹配"
1183,疋,4733806.jpg,Component 疋 same-as 𤴔 C444 匹<疋> simp 匹. (name- leg-knee 𤴔疋 shū),"(- stone chimes in a row, which must be matched)  See 匹配"
1184,疋,4733842.jpg,Component 疋 same-as 𤴔 C444 匹<疋> simp 匹. (name- leg-knee 𤴔疋 shū),"(- stone chimes in a row, which must be matched)  See 匹配"
1185,亚,4734630.jpg,Component 亞 B115 亚[亞] new-char 亚 (name- building (亚)亞 yà),(- a house with 4 corners)  (- often can see people and things inside)  (- related meaning the adobe to make the house)
1186,娅,4736820.jpg,Compound 婭  from female 女 nǚ and  phonetic building (亚)亞 yà simp 娅.,
1187,言,4736649.jpg,Component 言 from inverted person-stand 立 lì and  mouth 口 kǒu R01 讠訁言. (name- mouth-speak 言 yán),(- a man standing and speaking to you)
1188,言,4737746.jpg,Component 言 from inverted person-stand 立 lì and  mouth 口 kǒu R01 讠訁言. (name- mouth-speak 言 yán),(- a man standing and speaking to you)
1189,岩,4737552.jpg,Compound 巖 flip-variant 巗 from mountain 山 shān and phonetic serious (严)嚴𡃫𡅮 yán C671 岩<巗巖嵒> simp 岩.,
1190,炎,4737596.jpg,Compound 炎  from two fire 火 huǒ. (name- two-fires 炎 yán),
1191,酓,4738708.jpg,Compound 酓 flip-variant 𨟹  from container-jug 酉 yǒu and  inverted-mouth 今 jīn. (name- to-drink 𨟹酓 yǎn),
1192,甗,4739439.jpg,Compound 甗  from building-tile 瓦 wǎ and  potter-yan 鬳 yàn,
1193,甗,4739133.jpg,Compound 甗  from building-tile 瓦 wǎ and  potter-yan 鬳 yàn,
1194,焱,4739379.jpg,Compound 焱  from three fire 火 huǒ,
1195,燕,4740700.jpg,Component 燕 from (rem+ 灬 tail) and  (rem+ 廿 niàn head) and  (rem+ 北 běi wings) C666 燕<鷰> simp 燕. (name- swallow-bird 燕 yàn),(- a swallow)
1196,燕,4740679.jpg,Component 燕 from (rem+ 灬 tail) and  (rem+ 廿 niàn head) and  (rem+ 北 běi wings) C666 燕<鷰> simp 燕. (name- swallow-bird 燕 yàn),(- a swallow)
1197,鬳,4741100.jpg,Compound 鬳  from three-footed-pot 鬲 gé and  phonetic tiger-head 虍 hū.,
1198,央,4741726.jpg,Component 央 from person-big 大 dà and. (name- person-carry-pole 央 yāng),"(- man carrying load, centered on a carrying pole)"
1199,央,4741449.jpg,Component 央 from person-big 大 dà and. (name- person-carry-pole 央 yāng),"(- man carrying load, centered on a carrying pole)"
1200,央,4742269.jpg,Component 央 from person-big 大 dà and. (name- person-carry-pole 央 yāng),"(- man carrying load, centered on a carrying pole)"
1201,羊,4743177.jpg,Component 羊⺷ name- sheep 羊⺷ yáng,(- sheep with horns)  (- in context sometimes ⺶ or ⺷)
1202,羊,4743176.jpg,Component 羊⺷ name- sheep 羊⺷ yáng,(- sheep with horns)  (- in context sometimes ⺶ or ⺷)
1203,羊,4743620.jpg,Component 羊⺷ name- sheep 羊⺷ yáng,(- sheep with horns)  (- in context sometimes ⺶ or ⺷)
1204,阳,4744376.jpg,Compound 陽 from left-wall 阝阜𨸏 fù and  related phonetic sundial (𠃓)昜 yáng A283 阳[陽] simp 阳.,
1205,徉,4744248.jpg,Compound 徉  from road-left 彳 chì and  phonetic sheep 羊 yáng.,
1206,昜,4744910.jpg,Component 昜 from sun-day 日 rì and  (rem+ 一勿 sundial-and-shadow) R03 (𠃓)昜 new-char 𠃓  (name- sundial (𠃓)昜 yáng),
1207,恙,4745730.jpg,Compound 恙  from heart 心 xīn and  phonetic sheep 羊 yáng.,
1208,恙,4746536.jpg,Compound 恙  from heart 心 xīn and  phonetic sheep 羊 yáng.,
1209,夭,4746606.jpg,Component 夭 C681 夭<殀> simp 夭. (name- young-person 夭 yāo),(- person-stand-da 大 dà leaning forward)夭亡 夭折
1210,夭,4746748.jpg,Component 夭 C681 夭<殀> simp 夭. (name- young-person 夭 yāo),(- person-stand-da 大 dà leaning forward)夭亡 夭折
1211,夭,4746602.jpg,Component 夭 C681 夭<殀> simp 夭. (name- young-person 夭 yāo),(- person-stand-da 大 dà leaning forward)夭亡 夭折
1212,爻,4747501.jpg,Component 爻 from two scissors 乂 yì. (name- double-x 爻 yáo),underbrush 棥. see 樊礬𥖎鬰欝. characters 学學𡥈教𤕝. fabric 希𢁫. lantern 爽. 龸𦥯 in 礐覺. cutting 𤕦肴. stripes 駁.
1213,尧,4747683.jpg,Compound 堯 from table 兀 wù and  related phonetic three-earth-yao 垚 yáo B118 尧[堯] new-char 尧. name- table-pile (尧)堯 yáo,(- a pile of jugs on a table - piled high)
1214,尧,4747181.jpg,Compound 堯 from table 兀 wù and  related phonetic three-earth-yao 垚 yáo B118 尧[堯] new-char 尧. name- table-pile (尧)堯 yáo,(- a pile of jugs on a table - piled high)
1215,埜,4748807.jpg,Compound 埜 from forest 林 lín and potters-clay 土 tǔ C682 野<埜壄> simp 野 simp .,(- shuttle 予 indicating you have to weave in and out of the trees 林)
1216,页,4749200.jpg,PComponent 頁 older 𩑋  from person 儿 ér and  head 𦣻首𩠐 shǒu B120 页[頁] new-char 页. (name- person-head (页)頁 yè),
1217,页,4749472.jpg,PComponent 頁 older 𩑋  from person 儿 ér and  head 𦣻首𩠐 shǒu B120 页[頁] new-char 页. (name- person-head (页)頁 yè),
1218,页,4750462.jpg,PComponent 頁 older 𩑋  from person 儿 ér and  head 𦣻首𩠐 shǒu B120 页[頁] new-char 页. (name- person-head (页)頁 yè),
1219,一,4750333.jpg,Component 一 (name- number-one 一 yī),
1220,伊,4750652.jpg,Compound 伊  from person-left 亻 rén and  phonetic hand-and-rod 尹 yǐn. (name- he-she-this-that 伊 yī),
1221,衣,4750342.jpg,Component 衣 (name- cloths 衣 yī),cloths.
1222,依,4751143.jpg,Compound 依  from person-left 亻 rén and  related phonetic cloths 衣 yī,(- the value of a man depends on his cloths).
1223,匜,4751504.jpg,Compound 匜  from box 匚𠥓匸 fāng-xì and  phonetic snake 也 yě.,
1224,匜,4753843.jpg,Compound 匜  from box 匚𠥓匸 fāng-xì and  phonetic snake 也 yě.,
1225,匜,4753186.jpg,Compound 匜  from box 匚𠥓匸 fāng-xì and  phonetic snake 也 yě.,
1226,匜,4753118.jpg,Compound 匜  from box 匚𠥓匸 fāng-xì and  phonetic snake 也 yě.,
1227,匜,4753916.jpg,Compound 匜  from box 匚𠥓匸 fāng-xì and  phonetic snake 也 yě.,
1228,匜,4754389.jpg,Compound 匜  from box 匚𠥓匸 fāng-xì and  phonetic snake 也 yě.,
1229,夷,4754569.jpg,Compound 夷  from person-big 大 dà and  bow 弓 gōng,"(- unclear, possibly some kind of clothing)."
1230,宜,4755720.jpg,Compound 宜𡨆宐  from building 宀 mián and altar 且 qiě-jū. name- altar-correct 宜𡨆宐 yí,
1231,宜,4800375.jpg,Compound 宜𡨆宐  from building 宀 mián and altar 且 qiě-jū. name- altar-correct 宜𡨆宐 yí,
1232,宜,4801287.jpg,Compound 宜𡨆宐  from building 宀 mián and altar 且 qiě-jū. name- altar-correct 宜𡨆宐 yí,
1233,宜,4801952.jpg,Compound 宜𡨆宐  from building 宀 mián and altar 且 qiě-jū. name- altar-correct 宜𡨆宐 yí,
1234,宜,4801746.jpg,Compound 宜𡨆宐  from building 宀 mián and altar 且 qiě-jū. name- altar-correct 宜𡨆宐 yí,
1235,椸,4802345.jpg,Compound 椸  from tree 木 mù and  phonetic to-grant 施 shī.,
1236,乙,4803583.jpg,Component 乙  (name- heavenly-stem-two 乙 yǐ) Stroke 33,(- Shuowen says: it is a sprout) (- second; 2nd heavenly stem) (- variant 乚 in 乹亁) A292 亿[億] A293 忆[憶] B122 艺[藝] (- phonetic in 钇釔)  (- motion in 失𢩥 穵)  (- remnant in 凼氹)
1237,乙,4803661.jpg,Component 乙  (name- heavenly-stem-two 乙 yǐ) Stroke 33,(- Shuowen says: it is a sprout) (- second; 2nd heavenly stem) (- variant 乚 in 乹亁) A292 亿[億] A293 忆[憶] B122 艺[藝] (- phonetic in 钇釔)  (- motion in 失𢩥 穵)  (- remnant in 凼氹)
1238,乙,4804453.jpg,Component 乙  (name- heavenly-stem-two 乙 yǐ) Stroke 33,(- Shuowen says: it is a sprout) (- second; 2nd heavenly stem) (- variant 乚 in 乹亁) A292 亿[億] A293 忆[憶] B122 艺[藝] (- phonetic in 钇釔)  (- motion in 失𢩥 穵)  (- remnant in 凼氹)
1239,以,4804207.jpg,Component 以 mutants 𠙋㕥 from mouth-speak 㠯 yǐ and  (rem- 口 kǒu) and  person 人 rén C689 以<㕥㠯> simp 以. (name- person-mouth 以𠙋㕥 yǐ),"人 was added to distinguish 㠯 from 厶. Originally 㠯, meaning ‘by means of’ or ‘because of’. originally 㠯=以."
1240,以,4805701.jpg,Component 以 mutants 𠙋㕥 from mouth-speak 㠯 yǐ and  (rem- 口 kǒu) and  person 人 rén C689 以<㕥㠯> simp 以. (name- person-mouth 以𠙋㕥 yǐ),"人 was added to distinguish 㠯 from 厶. Originally 㠯, meaning ‘by means of’ or ‘because of’. originally 㠯=以."
1241,乂,4805829.jpg,Component 乂 from (not- 㐅 wǔ). (name- scissors 乂 yì),(- phonetic in 艾) (- part of 爻) 㐅 in B092 区[區] B034 冈[岡] B033 风[風] A323 赵[趙] 乂 in B121 义[義]
1242,义,4805716.jpg,Compound 義 rake 我 wǒ and  sheep 羊 yáng and modified phonetic scissors 乂 yì B121 义[義] new-char 义. name- generosity (义)義 yì,(- the sheep which is given each year to the poor) .
1243,亦,4806347.jpg,Component 亦 older 𡗕 (name- person-armpits-also 亦𡗕 yì),"(- two dots indicating ""and"", one on each side) (- from person-stand-da 大 dà and symbols indicating armpits 腋窝)  (- simplification of 亦䜌 luán)"
1244,亦,4806417.jpg,Component 亦 older 𡗕 (name- person-armpits-also 亦𡗕 yì),"(- two dots indicating ""and"", one on each side) (- from person-stand-da 大 dà and symbols indicating armpits 腋窝)  (- simplification of 亦䜌 luán)"
1245,异,4806366.jpg,Component 異 older 𠔱 from (rem+ 田 tián a-mask) and  (rem+ 共 gǒng man-holding-the-mask) C686 异<異> simp 异. (name- person-mask (异)異𠔱 yì),"Man holding a mask indicating a different face ""other"")"
1246,异,4807762.jpg,Component 異 older 𠔱 from (rem+ 田 tián a-mask) and  (rem+ 共 gǒng man-holding-the-mask) C686 异<異> simp 异. (name- person-mask (异)異𠔱 yì),"Man holding a mask indicating a different face ""other"")"
1247,邑,4807359.jpg,Compound 邑 from (rem- 口 kǒu) from  enclosure 囗 wéi and  (rem- 巴 bā) from  person-kneeling 卩 jié. (name- right-city 阝邑 yì),
1248,易,4807810.jpg,Component 易 from (rem- 日 rì) and  (rem- 勿 wù). (name- easy-moon 易 yì),(- light 勿 from the moon 月 - easy to see - easy) (日月為易）
1249,益,4808365.jpg,Component 益  from water 水 shuǐ and  bowl 皿 mǐn  simp 益. (name- overflow (益)益 yì),(original- 益益溢)
1250,益,4808609.jpg,Component 益  from water 水 shuǐ and  bowl 皿 mǐn  simp 益. (name- overflow (益)益 yì),(original- 益益溢)
1251,翊,4810731.jpg,Compound 翊  from wings 羽 yǔ and  phonetic person-stand 立 lì.,stand up 立 and fly 羽
1252,翊,4810722.jpg,Compound 翊  from wings 羽 yǔ and  phonetic person-stand 立 lì.,stand up 立 and fly 羽
1253,翌,4811761.jpg,Compound 翌  from wings 羽 yǔ and  phonetic person-stand 立 lì.,daybreak when the birds 羽 stand up 立 and fly. 昱
1254,翌,4811213.jpg,Compound 翌  from wings 羽 yǔ and  phonetic person-stand 立 lì.,daybreak when the birds 羽 stand up 立 and fly. 昱
1255,因,4812413.jpg,Component 因 mutant 囙 from (rem+ 囗 wéi a-mat) and  person-big 大 dà C690 因<囙> simp 因. (name- person-mat 因 yīn),(- a mat 囗 with a person 大 sleeping on it)
1256,因,4812278.jpg,Component 因 mutant 囙 from (rem+ 囗 wéi a-mat) and  person-big 大 dà C690 因<囙> simp 因. (name- person-mat 因 yīn),(- a mat 囗 with a person 大 sleeping on it)
1257,寅,4813929.jpg,Component 寅 older 𡩟 (name- terrestrial-branch-three 寅𡩟 yín),(- possible hands straightening an arrow)
1258,寅,4813418.jpg,Component 寅 older 𡩟 (name- terrestrial-branch-three 寅𡩟 yín),(- possible hands straightening an arrow)
1259,寅,4813827.jpg,Component 寅 older 𡩟 (name- terrestrial-branch-three 寅𡩟 yín),(- possible hands straightening an arrow)
1260,寅,4816365.jpg,Component 寅 older 𡩟 (name- terrestrial-branch-three 寅𡩟 yín),(- possible hands straightening an arrow)
1261,寅,4817334.jpg,Component 寅 older 𡩟 (name- terrestrial-branch-three 寅𡩟 yín),(- possible hands straightening an arrow)
1262,嚚,4817477.jpg,Compound 嚚  from four-mouths 㗊 jí and  *臤 臣 chén.,
1263,尹,4817704.jpg,Component 尹 (name- hand-and-rod 尹 yǐn),(- a hand with a stick that signifies control or possibly a brush that writes laws to control)
1264,引,4818721.jpg,Component 引 from bow 弓 gōng and  (rem+丨gǔn bow-string). (name- bow-string 引 yǐn),(- a bow 弓 with string 丨)
1265,饮,4818872.jpg,Compound 飲 mutant 飮 from mouth-eating (饣)飠食 shí and  person-mouth-open 欠 qiàn C692 飲<㱃> simp 饮 simp .,(- man leaning over to drink from a jug).
1266,饮,4818168.jpg,Compound 飲 mutant 飮 from mouth-eating (饣)飠食 shí and  person-mouth-open 欠 qiàn C692 飲<㱃> simp 饮 simp .,(- man leaning over to drink from a jug).
1267,饮,4819345.jpg,Compound 飲 mutant 飮 from mouth-eating (饣)飠食 shí and  person-mouth-open 欠 qiàn C692 飲<㱃> simp 饮 simp .,(- man leaning over to drink from a jug).
1268,饮,4820344.jpg,Compound 飲 mutant 飮 from mouth-eating (饣)飠食 shí and  person-mouth-open 欠 qiàn C692 飲<㱃> simp 饮 simp .,(- man leaning over to drink from a jug).
1269,印,4820151.jpg,Compound 印 from (rem+ * left-hand) from  hand-above 爫 zhuǎ and  person-kneeling 卩 jié.,(- who uses his hand to press)
1270,印,4820989.jpg,Compound 印 from (rem+ * left-hand) from  hand-above 爫 zhuǎ and  person-kneeling 卩 jié.,(- who uses his hand to press)
1271,庸,4820174.jpg,Component 庸 from pestle 庚 gēng and  related phonetic water-bucket 用 yòng. (name- common 庸 yōng),
1272,雍,4821336.jpg,Component 雍 older 雝  from bird 隹 zhuī and  (rem- 亠)(rem- 乡𨙨邑 yì) from related phonetic water-moat 邕 yōng C707 雍<雝> simp 雍.  (name- water-pool 雍雝 yōng),
1273,雍,4821866.jpg,Component 雍 older 雝  from bird 隹 zhuī and  (rem- 亠)(rem- 乡𨙨邑 yì) from related phonetic water-moat 邕 yōng C707 雍<雝> simp 雍.  (name- water-pool 雍雝 yōng),
1274,雍,4821800.jpg,Component 雍 older 雝  from bird 隹 zhuī and  (rem- 亠)(rem- 乡𨙨邑 yì) from related phonetic water-moat 邕 yōng C707 雍<雝> simp 雍.  (name- water-pool 雍雝 yōng),
1275,雍,4822765.jpg,Component 雍 older 雝  from bird 隹 zhuī and  (rem- 亠)(rem- 乡𨙨邑 yì) from related phonetic water-moat 邕 yōng C707 雍<雝> simp 雍.  (name- water-pool 雍雝 yōng),
1276,雝,4822445.jpg,Component 雍 older 雝  from bird 隹 zhuī and  (rem- 亠)(rem- 乡𨙨邑 yì) from related phonetic water-moat 邕 yōng C707 雍<雝> simp 雍.  (name- water-pool 雍雝 yōng),
1277,雝,4822784.jpg,Component 雍 older 雝  from bird 隹 zhuī and  (rem- 亠)(rem- 乡𨙨邑 yì) from related phonetic water-moat 邕 yōng C707 雍<雝> simp 雍.  (name- water-pool 雍雝 yōng),
1278,雝,4823230.jpg,Component 雍 older 雝  from bird 隹 zhuī and  (rem- 亠)(rem- 乡𨙨邑 yì) from related phonetic water-moat 邕 yōng C707 雍<雝> simp 雍.  (name- water-pool 雍雝 yōng),
1279,雝,4823381.jpg,Component 雍 older 雝  from bird 隹 zhuī and  (rem- 亠)(rem- 乡𨙨邑 yì) from related phonetic water-moat 邕 yōng C707 雍<雝> simp 雍.  (name- water-pool 雍雝 yōng),
1280,永,4823502.jpg,Component 永 (name- swim-forever 永 yǒng),"(a man swimming in water) (original 永泳) (borrowed for sound, meaning ""for ever"")"
1281,永,4824290.jpg,Component 永 (name- swim-forever 永 yǒng),"(a man swimming in water) (original 永泳) (borrowed for sound, meaning ""for ever"")"
1282,永,4824920.jpg,Component 永 (name- swim-forever 永 yǒng),"(a man swimming in water) (original 永泳) (borrowed for sound, meaning ""for ever"")"
1283,永,4824791.jpg,Component 永 (name- swim-forever 永 yǒng),"(a man swimming in water) (original 永泳) (borrowed for sound, meaning ""for ever"")"
1284,永,4824209.jpg,Component 永 (name- swim-forever 永 yǒng),"(a man swimming in water) (original 永泳) (borrowed for sound, meaning ""for ever"")"
1285,用,4825216.jpg,Component 用 older 𠂦  (name- water-bucket 用𠂦 yòng),(- a water bucket)  (original- 用桶) tǒng.
1286,用,4825728.jpg,Component 用 older 𠂦  (name- water-bucket 用𠂦 yòng),(- a water bucket)  (original- 用桶) tǒng.
1287,攸,4825472.jpg,Component 攸 older 𠈹  from person-left 亻 rén and  (rem-丨gǔn) from hand-ford-river 𣲏㳊. (name- man-fords-river 攸𠈹 yōu),(a man with a pole fording a river)
1288,攸,4826406.jpg,Component 攸 older 𠈹  from person-left 亻 rén and  (rem-丨gǔn) from hand-ford-river 𣲏㳊. (name- man-fords-river 攸𠈹 yōu),(a man with a pole fording a river)
1289,幽,4826819.jpg,Compound 幽  from mountain 山 shān and  phonetic two-threads 𢆶 yōu.,
1290,幽,4826412.jpg,Compound 幽  from mountain 山 shān and  phonetic two-threads 𢆶 yōu.,
1291,尤,4827331.jpg,Component 尤 (name- hand-injured 尤 yóu),(- see 尢𡯁尣) 尤 sometimes seen as 尢 from right-hand-you 又𠂇 yòu plus a wart or injury on the finger  (original 尤疣 yóu)
1292,由,4827627.jpg,Component 由 (name- sprout 由 yóu),(- modification sprouts-miao 苗 miáo)
1293,犹,4827681.jpg,Compound 猶 from dog-left 犭 quǎn and  phonetic container-wine 酋 qiú B125 犹[猶] simp 犹. (name- animal-ape (犹)猶 yóu),
1294,斿,4828459.jpg,Compound 斿 from flag 㫃 yǎn and child 子 zi. (name- travel 斿 yóu),(see 游泳)
1295,友,4828455.jpg,Compound 友  from right left-hand 𠂇 zuǒ and  right-hand 又 yòu.,(- holding hands)
1296,友,4828345.jpg,Compound 友  from right left-hand 𠂇 zuǒ and  right-hand 又 yòu.,(- holding hands)
1297,卣,4828110.jpg,Component 卣 (name- wine-jug 卣 yǒu),(- now meaning a wine pot) (from fermented fruit in a pot 𪾏)
1298,酉,4829769.jpg,Component 酉 (name- container-jug 酉 yǒu),(- see 酉 yǒu 𠁁 dòu 留畱 liú) (- a jug)
1299,酉,4829748.jpg,Component 酉 (name- container-jug 酉 yǒu),(- see 酉 yǒu 𠁁 dòu 留畱 liú) (- a jug)
1300,酉,4830570.jpg,Component 酉 (name- container-jug 酉 yǒu),(- see 酉 yǒu 𠁁 dòu 留畱 liú) (- a jug)
1301,酉,4831292.jpg,Component 酉 (name- container-jug 酉 yǒu),(- see 酉 yǒu 𠁁 dòu 留畱 liú) (- a jug)
1302,酉,4831519.jpg,Component 酉 (name- container-jug 酉 yǒu),(- see 酉 yǒu 𠁁 dòu 留畱 liú) (- a jug)
1303,酉,4833637.jpg,Component 酉 (name- container-jug 酉 yǒu),(- see 酉 yǒu 𠁁 dòu 留畱 liú) (- a jug)
1304,酉,4833392.jpg,Component 酉 (name- container-jug 酉 yǒu),(- see 酉 yǒu 𠁁 dòu 留畱 liú) (- a jug)
1305,酉,4833521.jpg,Component 酉 (name- container-jug 酉 yǒu),(- see 酉 yǒu 𠁁 dòu 留畱 liú) (- a jug)
1306,酉,4834977.jpg,Component 酉 (name- container-jug 酉 yǒu),(- see 酉 yǒu 𠁁 dòu 留畱 liú) (- a jug)
1307,又,4834771.jpg,PComponent 又 (name- right-hand 又 yòu),(right hand) A066凤[鳳] A096欢[歡]雚 C232歡<懽讙驩> A082观[觀]雚 A207权[權]雚 A208劝[勸]雚 A241叹[嘆]堇 C563嘆<歎> B079难[難]堇 A110艰[艱]堇  A084汉[漢]堇 A127仅[僅]堇 A046邓[鄧]登 A103鸡[鷄]奚 C246 鷄<雞> A232树[樹]壴 A263戏[戲]䖒 C609戲<戯> B028对[對]丵土 R11𠬤睪 B081聂[聶]耳 B096圣[聖] A087轰[轟]車
1308,幼,4834952.jpg,Compound 幼  from strength 力 lì and  phonetic single-thread 幺 yāo. (name- small 幼 yòu),
1309,囿,4835530.jpg,Compound 囿 variant 𡈹 from enclosure 囗 wéi and  phonetic to-have 有 yǒu and field 田 tián tree 木 mù.,
1310,囿,4835832.jpg,Compound 囿 variant 𡈹 from enclosure 囗 wéi and  phonetic to-have 有 yǒu and field 田 tián tree 木 mù.,
1311,囿,4835782.jpg,Compound 囿 variant 𡈹 from enclosure 囗 wéi and  phonetic to-have 有 yǒu and field 田 tián tree 木 mù.,
1312,于,4835502.jpg,Component 于 mutant 亐 C797 于 <於> simp 于. (name- tool-calipers 于亐 yú),(modern 于亐 yú is almost always from seal 亏 kuī) (seal 亏 kuī almost always from oracle 于亐) (probably calipers) (possibly an altar)
1313,于,4836500.jpg,Component 于 mutant 亐 C797 于 <於> simp 于. (name- tool-calipers 于亐 yú),(modern 于亐 yú is almost always from seal 亏 kuī) (seal 亏 kuī almost always from oracle 于亐) (probably calipers) (possibly an altar)
1314,余,4837594.jpg,Component 余 from inverted-mouth 亼 jí and  (rem- 朩 pìn)(not- 木 mù) from  hemp-flax 𣎳 pìn (not- 佘 shé) A302 余[餘] simp 余. (name- bitter-herb 余 yú),(- the leaves 𣎳 that can be drunk 亼 - tea)
1315,盂,4838316.jpg,Compound 盂𥁄  from bowl 皿 mǐn and  (rem- 亏 kuī) from  phonetic tool-calipers 于亐亏 yú.,
1316,盂,4838236.jpg,Compound 盂𥁄  from bowl 皿 mǐn and  (rem- 亏 kuī) from  phonetic tool-calipers 于亐亏 yú.,
1317,盂,4839514.jpg,Compound 盂𥁄  from bowl 皿 mǐn and  (rem- 亏 kuī) from  phonetic tool-calipers 于亐亏 yú.,
1318,臾,4839810.jpg,Component 臾 mutant 𠀐 from person 人 rén and  two-hands 𦥑 jú. (name- double-handful 臾𠀐 yú),(two hands holding something) (𠳋𦥳𨺫 𨺺 貴䝿) (phonetic in 萸 腴 諛 庾瘐)
1319,鱼,4839150.jpg,Component 魚 from (rem+ ⺈ mouth)(rem+ 田 body) and  (rem+ 一 yī tail)(rem+ 灬 huǒ tail) B126 鱼[魚] new-char 鱼. (name- fish (鱼)魚 yú),(- a fish)
1320,竽,4839523.jpg,Compound 竽𥫡  from bamboo-top 𥫗竹 zhú and  (rem- 亏 kuī) from  phonetic tool-calipers 于亐亏 yú.,
1321,竽,4840388.jpg,Compound 竽𥫡  from bamboo-top 𥫗竹 zhú and  (rem- 亏 kuī) from  phonetic tool-calipers 于亐亏 yú.,
1322,渔,4840606.jpg,Compound 漁  from three-dot-water 氵 shuǐ and  related phonetic fish (鱼)魚 yú  simp 渔.,
1323,渔,4840779.jpg,Compound 漁  from three-dot-water 氵 shuǐ and  related phonetic fish (鱼)魚 yú  simp 渔.,
1324,艅,4841765.jpg,Compound 艅  from boat 舟 zhōu and  phonetic bitter-herb 余 yú (not- 佘 shé).,
1325,艅,4841600.jpg,Compound 艅  from boat 舟 zhōu and  phonetic bitter-herb 余 yú (not- 佘 shé).,
1326,羽,4841632.jpg,Component 羽 two (rem+ 习 xí wing). name- wings 羽 yǔ,(- wings)
1327,羽,4842543.jpg,Component 羽 two (rem+ 习 xí wing). name- wings 羽 yǔ,(- wings)
1328,雨,4842654.jpg,Component 雨 (name- rain 雨 yǔ),(- rain)
1329,雨,4842971.jpg,Component 雨 (name- rain 雨 yǔ),(- rain)
1330,雨,4842213.jpg,Component 雨 (name- rain 雨 yǔ),(- rain)
1331,雨,4844666.jpg,Component 雨 (name- rain 雨 yǔ),(- rain)
1332,雨,4844540.jpg,Component 雨 (name- rain 雨 yǔ),(- rain)
1333,雨,4844456.jpg,Component 雨 (name- rain 雨 yǔ),(- rain)
1334,圉,4845545.jpg,Compound 圉  from enclosure 囗 wéi and  phonetic handcuffs-good-luck 幸 xìng.,
1335,玉,4845571.jpg,Component 玉. (name- jade 玉 yù),"(- 琮 cóng, a type of ritual jade object)  (- 丶 added to distinguish it from person-wang 王 wáng) (- In context, usually written like 王 wáng) (- usually on the left hand side)"
1336,玉,4845884.jpg,Component 玉. (name- jade 玉 yù),"(- 琮 cóng, a type of ritual jade object)  (- 丶 added to distinguish it from person-wang 王 wáng) (- In context, usually written like 王 wáng) (- usually on the left hand side)"
1337,聿,4846408.jpg,Component 聿 from hand-and-brush ⺻𦘒帇 niè and  (rem+ 一 yī paper). (name- hand-brush-paper 聿 yù),
1338,郁,4846342.jpg,Compound 鬱 mutants 鬰欝 yù from (rem- 冂 jiōng) and  forest 林 lín and  container 缶 fǒu and  bowl-of-rice 鬯 chàng and  (rem+ 彡 shān smoke)(rem+ 爻 yáo tinder) C713 鬱<鬰欝> A305 郁[鬱] simp 郁.,(- 彡 vapor - 冂 oven 林 - wood 鬯 food)
1339,郁,4847196.jpg,Compound 鬱 mutants 鬰欝 yù from (rem- 冂 jiōng) and  forest 林 lín and  container 缶 fǒu and  bowl-of-rice 鬯 chàng and  (rem+ 彡 shān smoke)(rem+ 爻 yáo tinder) C713 鬱<鬰欝> A305 郁[鬱] simp 郁.,(- 彡 vapor - 冂 oven 林 - wood 鬯 food)
1340,郁,4848799.jpg,Compound 鬱 mutants 鬰欝 yù from (rem- 冂 jiōng) and  forest 林 lín and  container 缶 fǒu and  bowl-of-rice 鬯 chàng and  (rem+ 彡 shān smoke)(rem+ 爻 yáo tinder) C713 鬱<鬰欝> A305 郁[鬱] simp 郁.,(- 彡 vapor - 冂 oven 林 - wood 鬯 food)
1341,郁,4848123.jpg,Compound 鬱 mutants 鬰欝 yù from (rem- 冂 jiōng) and  forest 林 lín and  container 缶 fǒu and  bowl-of-rice 鬯 chàng and  (rem+ 彡 shān smoke)(rem+ 爻 yáo tinder) C713 鬱<鬰欝> A305 郁[鬱] simp 郁.,(- 彡 vapor - 冂 oven 林 - wood 鬯 food)
1342,毓,4848829.jpg,Component 毓  from woman's-hair 每 měi and  baby-flow 㐬𡿮 liú (see 育𣫺).,
